step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,836,4,0.04906615214172952,0.0,0.0,0.0904941611644305,0.0,0.0,,,,,,
2,2088,8,0.037894571238799205,0.0,0.0,,,,,,,,,
3,3436,12,0.028404640695658127,0.0,0.0,,,,,,,,,
4,3824,16,0.05873457245551133,0.0,0.0,,,,,,,,,
5,5044,20,0.02546340154251204,0.25,0.25,,,,,,,,,
6,6264,24,0.019192969160312476,0.5,0.5,,,,,,,,,
7,7100,28,0.021429525915162652,0.25,0.25,,,,,,,,,
8,7904,32,0.022840552391459393,0.5,0.5,,,,,,,,,
9,8964,36,0.014697983780584817,0.25,0.25,0.01843665111736438,0.5,0.5,,,,,,
10,9288,40,0.043165378754347325,1.0,1.0,,,,,,,,,
11,9580,44,0.04276898444724389,0.75,0.75,,,,,,,,,
12,10800,48,0.012122903825423813,0.75,0.75,,,,,,,,,
13,11124,52,0.039519435488553425,0.75,0.75,,,,,,,,,
14,12312,56,0.013304546281123958,0.75,0.75,,,,,,,,,
15,13148,60,0.020212345922560732,0.25,0.25,,,,,,,,,
16,14368,64,0.021160398591300932,0.25,0.25,,,,,,,,,
17,15524,68,0.01677413868640896,0.75,0.75,0.015431483757709667,1.0,1.0,,,,,,
18,15944,72,0.026157594849972578,0.25,0.25,,,,,,,,,
19,16876,76,0.018064501922271405,0.75,0.75,,,,,,,,,
20,17968,80,0.013308834079563146,1.0,1.0,,,,,,,,,
21,19092,84,0.01524911126611479,0.25,0.25,,,,,,,,,
22,20024,88,0.016031797752806328,0.75,0.75,,,,,,,,,
23,20860,92,0.018662854702824215,0.5,0.5,,,,,,,,,
24,21984,96,0.016414815815877126,0.0,0.0,,,,,,,,,
25,22724,100,0.017294082388141997,0.25,0.25,0.01922828945481645,0.5,0.5,,,,,,
26,23944,104,0.01410970111894178,0.5,0.5,,,,,,,,,
27,24236,108,0.032639082743460474,1.0,1.0,,,,,,,,,
28,25360,112,0.01752108346487356,0.75,0.75,,,,,,,,,
29,26612,116,0.0100503671922282,0.5,0.5,,,,,,,,,
30,27640,120,0.01943247364111244,0.5,0.5,,,,,,,,,
31,28732,124,0.012145344423095275,0.75,0.75,,,,,,,,,
32,29696,128,0.02290146636018615,0.5,0.5,,,,,,,,,
33,30532,132,0.01895924938735406,0.5,0.5,0.01631960662443592,0.5,0.5,,,,,,
34,30888,136,0.027594262252790606,0.75,0.75,,,,,,,,,
35,32140,140,0.012554133413232135,0.5,0.5,,,,,,,,,
36,33264,144,0.015248807021709191,0.75,0.75,,,,,,,,,
37,34260,148,0.016935975756629678,0.75,0.75,,,,,,,,,
38,35000,152,0.01693741371458679,0.5,0.5,,,,,,,,,
39,35804,156,0.020125979823354827,0.5,0.5,,,,,,,,,
40,36832,160,0.012087661265460667,0.75,0.75,,,,,,,,,
41,38052,164,0.009716014359295167,1.0,1.0,0.015642675325718062,0.5,0.5,,,,,,
42,38888,168,0.020146951388706456,0.25,0.25,,,,,,,,,
43,39340,172,0.036077489756587186,0.25,0.25,,,,,,,,,
44,40240,176,0.013572844061531067,1.0,1.0,,,,,,,,,
45,41172,180,0.021809430211126177,1.0,1.0,,,,,,,,,
46,42264,184,0.01795470324479833,0.5,0.5,,,,,,,,,
47,43484,188,0.012493533749738892,0.5,0.5,,,,,,,,,
48,44736,192,0.015921157199443373,0.25,0.25,,,,,,,,,
